signal,fit_window,refit_every,entry_threshold,stop_loss_mult,num_trades,total_pnl,sharpe,max_drawdown_$,worst_trade,best_trade,win_rate_%,avg_trade_pnl,ann_return_$,ann_vol_$
GARCH,504,5,1.05,2.5,43,712.3694374219976,0.06362332455794535,-4188.950163502,-2006.7431595590003,1798.8520320650007,69.76744186046511,16.566731102837192,120.31977093186556,1891.1267490004166
GARCH,504,5,1.1,1.5,41,1915.8468446149973,0.23944465486776156,-3335.2595616000017,-1072.3490697500004,1341.232573451,56.09756097560976,37.48239867524383,323.5880729510585,1351.410717978929
GARCH,504,5,1.1,2.0,41,4955.548530450996,0.5584245347841789,-2223.8449557250005,-1165.775732450001,1341.232573451,68.29268292682927,111.62146418343897,836.9961324890422,1498.8527193070527
GARCH,504,5,1.1,2.5,41,4450.094287238996,0.48000951975251804,-3205.0374430870015,-1500.4040811500004,1341.232573451,70.73170731707317,99.29331190997557,751.6245042789726,1565.8533286308427
GARCH,504,5,1.15,1.5,37,3515.2760346149985,0.47094333059846344,-1869.5869776999996,-873.4289125499996,1341.232573451,62.16216216216216,84.76236582932425,593.732949546233,1260.7311983625111
GARCH,504,5,1.15,2.0,37,5646.621775650992,0.6353812578176262,-2116.4695204250047,-1667.88134115,1341.232573451,75.67567567567568,142.36630477624317,953.718959426307,1501.0184006718898
GARCH,504,5,1.15,2.5,37,4914.590372388993,0.54135853554573,-2878.9552434370034,-1667.88134115,1341.232573451,75.67567567567568,122.5816722556486,830.0782666501517,1533.3244276150012
GARCH,504,5,1.2,1.5,32,4930.995370309999,0.59935372359435,-2219.7056391500014,-884.1035824999999,2428.922515845,62.5,154.09360532218741,832.8490839933779,1389.5785597172005
GARCH,504,5,1.2,2.0,32,4697.915765354999,0.5129872931284893,-2959.3774181690005,-1783.907808,2428.922515845,68.75,146.80986766734372,793.4817512529892,1546.7863666054661
GARCH,504,5,1.2,2.5,32,4778.017613445998,0.5133003261588893,-2879.2755700780012,-1783.907808,2428.922515845,68.75,149.31305042018747,807.0110178206378,1572.200477368939
GARCH,504,21,1.05,1.5,37,4280.306108701999,0.6085207371482241,-1680.494731350001,-963.59020365,733.7724043930006,67.56756756756756,81.61143433354053,722.9471443652169,1188.0402757566515
GARCH,504,21,1.05,2.0,37,1789.0976072069973,0.18257010109929792,-3564.9750335139997,-3511.8212875319996,733.7724043930006,72.97297297297297,14.281474833675672,302.18002480976094,1655.14519075283
GARCH,504,21,1.05,2.5,37,1119.9775421569996,0.11156683295415888,-3970.5744574859987,-3511.8212875319996,733.7724043930006,72.97297297297297,-3.8028512487567734,189.16510765654417,1695.5317512174001
GARCH,504,21,1.1,1.5,34,4072.0212396069983,0.5027409173588343,-1794.9405289499996,-873.4289125499996,2047.053152619001,64.70588235294117,119.76533057667645,687.7676624537289,1368.0359777893923
GARCH,504,21,1.1,2.0,34,2114.860375517995,0.19858087699790933,-3810.821579545998,-3633.2757283729993,2047.053152619001,76.47058823529412,62.201775750529364,357.2016183850769,1798.7714818523918
GARCH,504,21,1.1,2.5,34,1291.6701471179956,0.11946434435693787,-4300.0259295060005,-3633.2757283729993,2047.053152619001,76.47058823529412,37.99029844464698,218.16412672502338,1826.1861135167528
GARCH,504,21,1.15,1.5,31,3328.399273680997,0.49211170821344324,-1665.2277096090002,-959.8092717880002,653.4618347499993,61.29032258064516,63.164899376161216,562.1693143214552,1142.361185354334
GARCH,504,21,1.15,2.0,31,3375.2457262679945,0.4382919638029618,-2068.3018008679996,-1676.1315667060003,653.4618347499993,70.96774193548387,64.6760752660644,570.0817178415111,1300.689414642785
GARCH,504,21,1.15,2.5,31,2375.3604599339988,0.24786837855375532,-4160.419230451999,-3768.2489962900004,745.3941302000001,74.19354838709677,32.42171183593539,401.2002921604341,1618.6021569242873
GARCH,504,21,1.2,1.5,27,3878.420927305,0.48076806946649847,-2567.397321618999,-638.9343522910001,1798.8520320650007,62.96296296296296,143.64521952981474,655.0684139952144,1362.545592352118
GARCH,504,21,1.2,2.0,27,4088.5077316299967,0.4539148973971893,-2681.0637364440017,-2006.7431595590003,1798.8520320650007,74.07407407407408,151.42621228259247,690.5522442163265,1521.3253589517515
GARCH,504,21,1.2,2.5,27,5458.058348079998,0.5943473077653484,-2657.5420988680003,-2006.7431595590003,1798.8520320650007,77.77777777777779,202.15030918814807,921.8704448499727,1551.0635495533065
GARCH,504,63,1.05,1.5,36,3987.482321956998,0.4839232760801459,-1616.2575461499991,-873.4289125499996,2047.053152619001,58.333333333333336,110.76339783213884,673.4889712688763,1391.7267562003674
GARCH,504,63,1.05,2.0,36,2515.559400667999,0.2352046835388949,-4069.1517860060003,-3633.2757283729993,2047.053152619001,72.22222222222221,69.87665001855551,424.8800060109489,1806.4266392071572
GARCH,504,63,1.05,2.5,36,3542.4609121679955,0.3239917794373694,-3810.821579546,-3633.2757283729993,2047.053152619001,75.0,98.40169200466663,598.3244972294469,1846.7274023695054
GARCH,504,63,1.1,1.5,33,3053.7404909709976,0.4824781446144332,-1800.3285908479997,-1267.1473253679997,562.0728817500003,63.63636363636363,81.05066642548486,515.7792250165492,1069.020909597321
GARCH,504,63,1.1,2.0,33,3599.1503124869973,0.37053720964753034,-2315.7293414039987,-1165.775732450001,562.0728817500003,69.6969696969697,97.57823677445452,607.8993825380182,1640.5893030723587
GARCH,504,63,1.1,2.5,33,4948.790881684999,0.48855531472518565,-3039.554143605998,-1362.6853589399996,774.7458542500002,75.75757575757575,138.4764358410606,835.854760177359,1710.87026378483
GARCH,504,63,1.15,1.5,29,5889.895602059994,0.6804651064610913,-1789.3916444570004,-713.7200723889997,2018.901663494,68.96551724137932,203.0998483468965,994.8081043693825,1461.9531478154718
GARCH,504,63,1.15,2.0,29,5039.557021681995,0.5303594148615844,-3163.0603261420033,-1222.6958364239995,2018.901663494,72.41379310344827,173.77782833386206,851.1852342251091,1604.9215124186212
GARCH,504,63,1.15,2.5,29,6226.365120347995,0.6431756119190845,-2557.3252715689987,-1551.109469958,2018.901663494,75.86206896551724,214.70224552924137,1051.6380766271413,1635.071444157065
